Cuda Without Preprocessing:
Num QBit 5:
3.396542
3.430124
3.415038
3.439068
3.443976
Num QBit 6:
3.675849
3.672867
3.66611
3.679794
3.664054
Num QBit 7:
3.901408
3.888509
3.905698
3.867546
3.925267
Num QBit 8:
4.122206
4.101274
4.184637
4.138086
4.116705
Num QBit 9:
4.395863
4.395741
4.377388
4.374335
4.39205
Num QBit 10:
4.648381
4.622606
4.640613
4.618409
4.618801
Num QBit 11:
5.028953
5.02071
5.005145
4.981886
5.038234
Num QBit 12:
5.436449
5.400705
5.407282
5.40044
5.429367
Num QBit 13:
5.644251
5.66857
5.616514
5.62339
5.659474
Num QBit 14:
6.007506
6.00428
6.064707
6.006246
6.036687
Num QBit 15:
7.1024
7.127579
7.093343
7.12486
7.093446
Num QBit 16:
9.40586
9.396219
9.403914
9.427307
9.423689
Num QBit 17:
14.237712
14.255305
14.249775
14.228532
14.225799
Num QBit 18:
23.75863
23.76609
23.76744
23.755251
23.825028
Num QBit 19:
42.6367
42.85029
42.805645
42.764008
42.729909
Num QBit 20:
81.940733
82.011011
81.607571
82.167946
81.57004
Num QBit 21:
166.284091
165.089817
165.175609
164.640277
164.852996
Num QBit 22:
335.065295
335.170501
337.694734
334.813438
339.342779
Cuda With Preprocessing:
Num QBit 5:
3.141531
3.057434
3.059033
3.063973
3.034842
Num QBit 6:
3.227309
3.210953
3.214796
3.228583
3.226051
Num QBit 7:
3.37085
3.394728
3.404761
3.37757
3.361577
Num QBit 8:
3.566147
3.529773
3.550491
3.554931
3.546679
Num QBit 9:
3.691178
3.702832
3.705637
3.71107
3.705598
Num QBit 10:
3.869194
3.863735
3.874278
3.874997
3.876144
Num QBit 11:
4.0417
4.056288
4.050783
4.122077
4.014263
Num QBit 12:
4.309473
4.291298
4.290517
4.323849
4.290078
Num QBit 13:
4.487338
4.449618
4.432094
4.444357
4.442818
Num QBit 14:
4.671796
4.661719
4.634019
4.641794
4.662429
Num QBit 15:
5.065728
5.049011
5.040755
5.050669
5.051126
Num QBit 16:
5.901558
5.903061
5.951568
5.912978
5.915046
Num QBit 17:
7.695653
7.706213
7.69413
7.703507
7.706718
Num QBit 18:
11.350056
11.3565
11.344266
11.367627
11.355045
Num QBit 19:
18.237714
18.228271
18.209332
18.22308
18.215371
Num QBit 20:
32.147067
32.317973
32.120291
32.443531
32.445983
Num QBit 21:
62.567361
62.324438
62.601205
62.251565
62.306988
Num QBit 22:
125.425917
125.192333
125.701627
125.078341
124.743842
Cuda With Preprocessing 3 call in 1:
Num QBit 5:
3.512889
3.610933
3.425149
3.443508
3.438252
Num QBit 6:
3.70813
3.705602
3.699805
3.712724
3.692135
Num QBit 7:
3.953235
3.966896
3.961265
3.951533
3.973405
Num QBit 8:
4.215234
4.207239
4.195352
4.224757
4.218976
Num QBit 9:
4.486219
4.505895
4.501525
4.487234
4.501921
Num QBit 10:
4.745552
4.757872
4.766837
4.746173
4.767538
Num QBit 11:
5.048435
5.03884
5.059861
5.039606
5.058099
Num QBit 12:
5.299945
5.295297
5.333767
5.340108
5.418614
Num QBit 13:
5.612484
5.590231
5.592794
5.588455
5.596152
Num QBit 14:
5.843225
5.859856
5.880226
5.837235
6.400213
Num QBit 15:
6.162452
6.18661
6.207763
6.15273
6.168679
Num QBit 16:
8.713998
8.763977
8.73318
8.724845
8.724216
Num QBit 17:
14.179387
14.165385
14.155152
14.164303
14.154962
Num QBit 18:
25.461899
25.571421
25.555112
25.61538
25.556357
Num QBit 19:
49.475711
49.496381
49.486419
49.475086
49.470147
Num QBit 20:
99.265066
99.21676
99.23544
99.278585
99.233259
Num QBit 21:
204.570488
204.567642
204.540004
204.533748
204.52664
Num QBit 22:
424.139633
424.11101
424.271625
424.226452
424.089802
Cuda 4x4:
Num QBit 5:
0.362215
0.281439
0.280536
0.288095
0.280852
Num QBit 6:
0.330454
0.333883
